date,nav_per_unit,short_name
26-09-14,10000.0,SSISCA
30-09-14,10403.38,SSISCA
01-10-14,10498.19,SSISCA
08-10-14,10614.92,SSISCA
15-10-14,10375.9,SSISCA
22-10-14,10305.48,SSISCA
29-10-14,10130.62,SSISCA
31-10-14,10300.58,SSISCA
05-11-14,10273.22,SSISCA
12-11-14,10303.4,SSISCA
19-11-14,10105.72,SSISCA
26-11-14,9922.16,SSISCA
03-12-14,9894.44,SSISCA
10-12-14,9878.61,SSISCA
17-12-14,9475.59,SSISCA
24-12-14,9713.25,SSISCA
31-12-14,9816.09,SSISCA
07-01-15,9853.01,SSISCA
14-01-15,9941.68,SSISCA
21-01-15,9915.57,SSISCA
28-01-15,9890.94,SSISCA
04-02-15,9812.85,SSISCA
11-02-15,9931.98,SSISCA
25-02-15,9978.72,SSISCA
04-03-15,10024.65,SSISCA
11-03-15,10018.67,SSISCA
18-03-15,9971.87,SSISCA
25-03-15,9953.61,SSISCA
31-03-15,9912.46,SSISCA
01-04-15,9829.21,SSISCA
08-04-15,9914.21,SSISCA
15-04-15,9979.15,SSISCA
22-04-15,10025.89,SSISCA
06-05-15,9839.85,SSISCA
13-05-15,9811.82,SSISCA
20-05-15,9871.32,SSISCA
27-05-15,9887.53,SSISCA
03-06-15,9867.81,SSISCA
10-06-15,9992.17,SSISCA
17-06-15,9994.61,SSISCA
24-06-15,10081.43,SSISCA
30-06-15,10182.94,SSISCA
01-07-15,10206.34,SSISCA
08-07-15,10348.39,SSISCA
15-07-15,10352.43,SSISCA
22-07-15,10594.45,SSISCA
29-07-15,10697.12,SSISCA
31-07-15,10607.84,SSISCA
05-08-15,10602.96,SSISCA
12-08-15,10694.98,SSISCA
19-08-15,10583.89,SSISCA
26-08-15,10335.93,SSISCA
09-09-15,10372.51,SSISCA
16-09-15,10267.49,SSISCA
23-09-15,10533.76,SSISCA
30-09-15,10562.18,SSISCA
07-10-15,10800.69,SSISCA
14-10-15,11036.21,SSISCA
21-10-15,11123.56,SSISCA
28-10-15,11357.4,SSISCA
04-11-15,11443.51,SSISCA
11-11-15,11371.96,SSISCA
18-11-15,11655.21,SSISCA
25-11-15,11574.42,SSISCA
30-11-15,11333.42,SSISCA
02-12-15,11382.27,SSISCA
09-12-15,11356.58,SSISCA
16-12-15,11564.52,SSISCA
23-12-15,11372.4,SSISCA
30-12-15,11481.83,SSISCA
31-12-15,11557.31,SSISCA
06-01-16,11453.78,SSISCA
13-01-16,11193.87,SSISCA
20-01-16,10757.23,SSISCA
27-01-16,11018.97,SSISCA
03-02-16,11018.25,SSISCA
